Test Information
****************
Project name,Armin
Operator name,K-State
Target test temperature,37
Target confining stress,0
Average dynamic strain range from 75 to 125 micro-strain
Contact stress,5
Initial modulus,1451
Axial gauge length,70
Comments
 Specimen information 
********************
Identification,Armin-10-37C (4G16013A)

 Dimensions,Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Average,Std Dev.
 Diameter (mm),100.8,101.0,100.7,101.0,100.9,,100.89,0.126
 Height (mm),148.9,148.8,152.6,151.3,149.0,,150.11,1.721

Cross-sectional area (mm²),7993.8

Conditioning time,na

Properties/Comments
*********
Test date and time,Sat, Dec 7, 2019, 8:46 PM
Test results summary
,25 Hz,10 Hz,5 Hz,1 Hz,0.5 Hz,0.1 Hz
 Dynamic modulus (MPa),1755,1341,1135,705.7,587.3,356.0
 Phase angle (Degrees),27.53,28.76,28.63,29.74,29.70,30.21
 Average temperature  (°C),37.0,37.0,37.0,37.0,37.0,37.0
 Average confining pressure  (kPa),0.0,0.0,-0.1,0.0,0.0,0.0
 Average micro-strain,86,94,88,93,94,95
 Load drift (%),-0.2,-0.5,0.0,0.0,0.0,0.1
 Load standard error (%),4.1,3.5,2.0,0.7,0.7,1.0
 Average deformation drift (%),-253.1,-182.8,-154.5,-117.5,-103.0,-70.5
 Average deformation standard error (%),6.6,5.4,3.8,2.6,2.8,3.3
 Deformation uniformity (%),38.2,38.9,37.4,36.7,36.0,34.7
 Phase uniformity (Degrees),0.5,0.3,0.1,0.6,1.0,1.6

